,price,Address,area,Bedrooms,Bathrooms
117,2630000.0,other,750.0,3.0,2.0
118,4600000.0,"Uttam Nagar West, New Delhi - West, Delhi NCR",1000.0,3.0,2.0
119,7500000.0,other,1390.0,3.0,2.0
120,7000000.0,other,1326.0,3.0,3.0
121,5800000.0,other,1270.0,3.0,3.0
122,5200000.0,"Sector 143, Noida, Delhi NCR",1175.0,2.0,2.0
123,26000000.0,other,3755.0,4.0,6.0
124,20000000.0,other,1650.0,3.0,3.0
125,3200000.0,other,800.0,2.0,2.0
126,8500000.0,other,1100.0,2.0,2.0
127,4320000.0,"Sector 67, Gurgaon, Delhi NCR",800.0,2.0,2.0
128,6709999.999999999,other,1180.0,2.0,2.0
129,16900000.0,other,1935.0,3.0,4.0
130,12500000.0,other,1800.0,3.0,3.0
131,5000000.0,other,1200.0,3.0,2.0
132,12000000.0,other,1250.0,2.0,2.0
133,2700000.0,other,770.0,2.0,2.0
134,11000000.0,other,1200.0,3.0,2.0
135,14000000.0,other,2500.0,5.0,5.0
136,7500000.0,"Sector 37D, Gurgaon, Delhi NCR",1675.0,3.0,3.0
137,12000000.0,other,2520.0,4.0,3.0
138,4100000.0,other,1000.0,2.0,2.0
139,3790000.0,other,1310.0,2.0,3.0
140,5200000.0,other,1065.0,2.0,2.0
141,12500000.0,"Sector 70A, Gurgaon, Delhi NCR",1830.0,3.0,3.0
142,15200000.0,other,2268.0,3.0,3.0
143,10500000.0,other,1821.0,3.0,3.0
144,4000000.0,"Yamuna Expressway, Greater Noida, Delhi NCR",1115.0,2.0,2.0
145,3329999.9999999995,"Sector 137, Noida, Delhi NCR",825.0,2.0,2.0
146,17000000.0,other,3500.0,4.0,3.0
147,3600000.0,other,750.0,2.0,2.0
148,4500000.0,other,1250.0,3.0,2.0
149,5500000.0,other,1375.0,3.0,3.0
150,24500000.0,other,2797.0,4.0,4.0
151,45000000.0,other,9000.0,10.0,10.0
152,5000000.0,"NH 24, Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1470.0,3.0,2.0
153,12500000.0,other,3150.0,3.0,3.0
154,7400000.0,"Vasundhara, Ghaziabad, Delhi NCR",1530.0,3.0,2.0
155,4100000.0,other,1200.0,3.0,2.0
